Gene Name,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib
RRN3,-1.1747767797410900,0.0,-1.0808479676171000,0.0,0.0,-1.1450015211992300,0.0,0.0,0.0,-1.1928307089578200,0.0,0.0,0.0,-1.193594443231960,-1.6671162992250800,0.0,0.0,0.0,-1.0901132662616600,-1.3835024583666400,0.0,0.0,0.0
ABCF1,-2.246720400562260,0.0,0.0,0.0,0.0,0.0,0.0,2.386754350890750,0.0,0.0,0.0,1.3416852888014400,1.477771744314010,0.0,0.0,0.45336484121237500,0.4952617697941200,0.0,1.9893234893767600,0.0,0.0,0.0,0.0
ABI1,-1.2119819337454200,0.0,0.0,0.0,0.0,0.0,-0.9748317692217440,0.8445346670982580,0.0,-1.5823902009158200,0.0,-1.1581380805120500,0.0,0.0,0.0,1.3547751803523300,1.3896478148771100,0.0,0.0,0.0,0.7256653282462290,-1.1779452738844500,-2.437048229712650
ABL1,1.2508360125127600,0.0,0.0,0.0,0.0,0.0,0.0,1.7612443532260700,0.0,0.0,0.0,0.0,0.0,-1.3620214936906300,0.0,-1.5740633592810200,-1.2444580136232700,3.3389332348301000,-1.174609050207520,0.0,-3.0852807876059500,0.0,-1.9649925021745800
ABLIM1,-1.3642318968841100,-0.38385776961741200,0.0,-0.9231597676307680,0.0,0.0,-0.9259378855373310,-1.2979236726171500,0.0,0.0,0.0,-1.4336165303971200,0.0,-1.8882208626061800,0.0,0.666759816595169,0.11883370808193600,0.0,1.9217112178118500,0.0,-0.8386924497333880,-1.7006789009970300,0.0
ABLIM3,-1.7496565225564400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.390878669072000,0.0,0.0,0.0,0.0,0.0,-1.1841066460199500,0.0,1.1433476867427100,1.1828327788457700,1.040372952149460
ACACA,2.3510673679115200,0.0,0.0,0.0,0.0,0.0,0.0,2.269648217504160,0.0,0.0,0.0,0.0,-2.0746115073825900,0.0,0.0,1.6857744863893300,1.7257359961217100,0.0,0.0,0.0,-1.443259065935750,-2.1349366307663700,0.0
ACAP2,1.2663488551502200,0.0,1.0362078015203800,0.0,0.0,0.0,0.0,-1.210445466547710,0.0,1.0362078015203800,0.0,0.0,0.0,0.0,0.0,0.722589764759153,0.530981801285496,0.0,0.0,0.0,0.0,0.0,0.0
ACIN1,-0.34446186955985500,0.0,-0.9316768797560380,-1.2535061714546800,1.6737624709006800,-1.0796232975400300,0.0,1.5522887197363800,0.0,-1.0941403021283900,0.0,0.16351977308208200,-2.032900934916870,-1.156721111623270,-0.9872036919988400,1.6868116950289900,1.340396367518320,1.4257180946518200,1.2700690509326800,1.104111703383520,-1.7223935390348500,-1.9049368798487900,1.0973251262054500
ACLY,-2.686532534549450,0.0,-1.2793553659276900,0.0,-1.3325849878635700,-1.1479573479454800,0.0,1.037236193490750,0.0,0.0,0.0,-1.4726323731654000,0.0,0.0,-1.0349423611563000,2.0842190456735900,2.152159049785920,1.4734899513000200,0.0,-1.1277020564858800,0.0,-1.015285507532370,0.0
