,Gene Name,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib,ID
988,TMPO,1.5726275769300475,0.0,0.0,0.8156943111797361,0.0,-0.8629368174795898,0.0,0.3050429979938586,0.0,0.0,0.0,-1.137376270171616,1.430265229059596,0.3343689801391896,0.0,1.5901804341568857,0.8825567359195857,1.109498474625061,-2.282294488766435,0.0,1.2853750220969935,1.252646581713136,1.8212297664566373,7112
989,TMSB4X,1.2805697095180408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7190130722330952,0.0,0.0,0.474018181799021,0.2145155189276601,0.0,1.6514397174700648,0.7621672248146143,0.0,0.0,0.0,7114
990,TMX1,2.257937271240245,0.0,0.0,0.0,0.0,0.0,0.0,1.7205037812786554,0.0,0.0,0.0,-0.9339341108670156,0.0,0.0,0.0,-1.192263424777558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81542
991,TNIK,1.0244693990692535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0632787929694127,0.0,23043
992,TNKS1BP1,0.4499677195481734,-0.916474467599776,0.0,-0.7922568792136148,1.124243484372634,0.0,0.0,0.4108607983668972,1.5642604549696424,0.3462926713352537,-1.0490273003249349,0.0596161340078056,0.3751857295882996,0.4673218188423649,0.0,1.3801082560852809,1.4401951918303206,0.8753862872433925,2.568351290236829,0.7864243029421536,0.1297143162028877,0.518216005317,1.2121455847126144,85456
993,TNS3,-1.8837935730069568,0.0,-1.207105232680751,-1.038156228136171,0.0,0.0,0.0,-1.5852958768108332,0.0,-1.207105232680751,0.0,-1.3259396541000537,-2.105938567061918,-1.7695816991959654,0.0,1.4069692468542434,1.4732017364546228,0.0,-1.236812413779234,0.0,-1.1980991712240951,-2.0391128904631275,0.0,64759
994,TOM1,-1.4982488837594712,0.0,0.0,0.0,0.0,0.0,0.0,1.136021818960408,0.0,0.0,0.0,0.0,-1.5357794113258032,0.0,0.0,1.0097359753823576,1.0202049921542231,0.0,2.1671709281146305,0.0,0.0,0.0,0.0,10043
995,TOP2A,-0.0143007244467356,0.0,-1.2132763252622007,0.0,0.0,0.0,0.0,3.214927638905689,0.0,0.0,0.0,1.0695414587545646,-2.013821762365583,0.0,0.0,1.51342466451005,1.6021868158629595,-1.1087290318232808,2.57664481934533,0.0,-1.4375829489462044,1.0466188803926768,0.0,7153
996,TOP2B,0.6887251980320331,0.0,0.0,0.0,0.0,0.0,0.0,1.6345003039668795,0.0,0.0,0.0,0.0,-2.161214083078875,0.0,0.0,2.161942964482772,1.857108453409466,-1.5659269927474675,0.0,0.0,0.0,0.3329258717469745,0.0,7155
997,TOP3A,-1.434883845772269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3001970127820508,0.0,0.0,1.040699711518514,0.0,0.0,0.0,0.0,-1.1373193709809415,-1.305648655768555,0.0,7156
