,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib
GnRH,-0.25321355424877606,-0.05950484433089683,-0.0024869559819788133,-0.023514073659861495,-0.09164692735992264,0.012816693015412033,-0.035467690620644664,0.4161669195607505,0.05831232292233893,-0.12062068359167853,-0.22558037685254986,-0.07739759206239669,-0.49216618963564485,-0.2736334066298253,0.01446516354168392,0.5006830014741732,0.4843118157840524,-0.02104000935947466,0.5421175250194199,0.18296598302835798,-0.48566196489787583,-0.3226501530427993,0.06792034278630259
MAPK,-0.2640612397533086,-0.026637531170722126,-0.03208808103285048,-0.00863821587844133,-0.018400827919043503,-0.01757905644353864,-0.03886702771468348,0.29532356164927387,0.017099101600146147,-0.05899102076570247,-0.1110160248229641,-0.14647786345778555,-0.432319130214378,-0.19727272076347285,-0.00038543115210499043,0.6701773418923003,0.6145911803765698,0.008279476963243566,0.2652272428618293,0.06678956032185926,-0.37270035649640454,-0.24624625910131467,0.01567220487479261
ErbB,-0.2429568532982711,-0.026816254708543066,-0.17315730425600592,-0.07273752757914191,-0.04196477665398822,-0.05700062913044691,-0.07522143166939015,0.36296908972185943,-0.029285716794887194,-0.14550815660060556,-0.15371252156782986,-0.22546802147334993,-0.5198280053814295,-0.32411884288260734,-0.07510813085694296,0.48300278263275204,0.61216206834505,-0.001400015845360714,0.28609042457683237,-0.031465189776943465,-0.5968981081182554,-0.311627289912952,-0.218276832100369
FoxO,-0.22324805985172336,-0.03128563049330024,-0.08461043537707619,-0.027868531745021033,-0.050839701539829515,0.007098127133588501,-0.08541766414898584,0.25810156168385767,0.07113067022704243,-0.11940677775135218,-0.1607378422459926,-0.09865190249568023,-0.5116902754044319,-0.23189401702145793,0.017143897530884647,0.37165752926681583,0.3386508854922862,-0.026197198382505317,0.11450684434271075,0.053163437504835924,-0.3801001280621534,-0.3455753837483845,0.010577971009557494
cAMP,-0.18961154126041235,-0.06357117543022285,-0.05942789027197485,-0.016112202277172197,-0.0882358993432353,0.043382268632443655,-0.09444290469080387,0.22289235032893892,-0.017912246583999595,-0.09954299554178213,-0.14096212251224716,-0.01790651223222258,-0.23716798950428766,-0.32732572911575003,0.0,0.3937193223253964,0.40197693905067333,-0.02335861551700254,0.2971149287277459,0.06106158619989429,-0.31585938263754737,-0.2352658004002795,0.09959875684242649
Jak-STAT,-0.14704396870164305,-0.016150924546227085,-0.18709097783259446,-0.04560305194639805,0.0,-0.027522928381828377,-0.07660510305712569,-0.11643637904801551,-0.0230718879086398,-0.13717238318739075,-0.08956731374766647,-0.1328387410849187,-0.3861820220897495,-0.2071434680976221,-0.03382167316098304,0.6488534038431852,0.6203994287587307,-0.16916720013315822,-0.08118952705214161,-0.007355501353829294,-0.44188169373537817,-0.31814179668047937,-0.288254125819159
Notch,0.11650844971046646,-0.016726426812257677,-0.21773791094786252,-0.030852707971163032,0.0,-0.24606874776943424,-0.09705785088427701,0.0784213511351644,-0.05010752467214071,0.0,0.0,-0.027367653616331426,-0.4205015260209552,-0.09728170538350872,0.0,0.2083674022632071,0.2904694577172747,0.0018246453018496824,-0.08952401675209137,0.0,-0.34668131529839913,-0.18988956210447222,0.0
Glucagon,0.042979883335901435,0.0,-0.05245027235996268,0.016289436538145532,-0.022596923592603825,0.0,0.05824826532470937,0.6410265526041875,0.026685388376846465,0.0,0.0,-0.12416368538685041,-0.0854385742483542,-0.05062203511026453,0.0,0.2728609121578352,0.31310155216643343,-0.00977992703286292,0.2398762871109681,0.07216974966095974,-0.07043624629396965,-0.020265586912831566,0.0
Wnt,-0.1961514392613365,0.0,-0.09917830638097586,-0.029371332865981703,0.030355935725569435,-0.03111523123125394,0.04802927140809369,0.24589400100074746,-0.0945309991201598,-0.08311875262246815,-0.02646827220504372,-0.07869366570405954,-0.16863744184934268,-0.21662848634952975,-0.017825025250568515,0.5706278075959554,0.5477518006624026,-0.04891351454621494,-0.006726411504573791,0.0367088163848683,-0.13404463573837327,-0.10850935822185412,0.021999089875233465
TGF-beta,-0.40907967129634004,-0.039877363331473084,-0.10995181527211807,-0.04345342564727303,-0.10112764398336291,-0.09261376568252927,-0.07188225735034785,0.17057258752336144,-0.11016882797158369,-0.16139527420421937,-0.1997912968668843,-0.1864636615846124,-0.24148970176794438,-0.21854782012702362,-0.1597146023778404,0.4633727743154024,0.5527196007854669,-0.10991593108134268,0.15511981229167415,-0.031316852465968006,-0.43093061784342546,-0.24686849499739777,0.1679789517072842
Thyroid,-0.24818756857979835,-0.04407680849482794,-0.15980622296391214,-0.0188810251232001,0.0071224455846648806,-0.11729066478709967,-0.018992810503833293,0.3673322801728895,-0.025532744121206926,-0.198116541167071,-0.15149351007786674,-0.0371683235000185,-0.4379197993448958,-0.31649276006280236,-0.04011844112024507,0.3746313829543165,0.49087109360415276,0.03526465235723833,0.22422485183667507,0.06674316959150327,-0.4387571573825541,-0.2734431865794247,0.10727759864138056
