Gene Name,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib
RAB3GAP1,-1.4975666334962736,-1.011570450377389,-1.3757315281808375,0.0,0.0,-1.8207554496219331,0.0,0.0,-1.125499884933517,-1.2599521075636984,0.0,0.0,-1.514282931092302,-1.519864653523776,0.0,1.4658602319763252,1.6350086664607648,0.0,-1.7426393359011765,-1.2653886424453618,-1.4174335733721806,-1.2365593869509648,0.0
RABEP1,-1.1267092231978575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2559959784940233,0.0,0.3401169210732502,0.061130563100256725,0.0,0.0,0.0,0.0,0.0,0.0
RABGAP1L,1.1834850885309347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4492044219774147,-1.3194701488540586,0.0,0.0,0.0,0.0,0.0,0.0
RACGAP1,1.1857057422655624,0.0,0.0,0.0,0.0,0.0,0.0,-1.539591059770478,0.0,0.0,0.0,-1.1561299853614118,0.0,0.0,0.0,0.23478911406947056,1.0977537477822763,0.925991058683725,-1.2590725916121666,0.0,0.0,0.0,0.0
RAD23A,1.2029965798764306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7578384981057389,0.0,0.0,0.0,0.0,-1.0472058771503738,0.0,1.5838572693090232,0.0,0.0,0.0,0.0
RAD9A,1.0700436564767652,0.0,-1.155478127019681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3414412871282944,-1.5075122291949314,0.0,1.337162853473317,0.0,0.0,0.0,0.0
RAF1,-1.0676436735864707,-0.9624424539264645,0.0,0.0,0.0,0.0,-1.0481298130386174,1.0357345375445377,0.0,0.0,0.0,-1.4038016920192509,-1.7829776534466213,-1.5597660246375709,0.0,2.647560173735186,0.0,0.0,1.1328472802543668,0.0,-1.3212726955651417,-1.8715961628777258,0.0
RAI1,-0.012240342329660972,0.0,0.0,-0.875635884496706,1.2137913842556098,0.0,0.0,0.0,-1.9611988781120155,0.0,0.0,0.09478639818804932,-1.6189331677396797,0.0,0.0,-1.6217195143358714,0.04282068959950521,0.0,-1.3763862196022243,0.0,-1.7151694505159125,-1.4484032607185815,0.0
RAI14,-1.6079558904301754,-0.40668814630064964,-1.8936490295178954,0.0,0.0,0.0,-0.9423637647186559,0.0,0.0,-1.973362432470246,-1.3505160780030459,-1.603862323411472,-1.394029310583085,-1.5215238417459913,0.0,0.0,0.0,1.175406653487298,0.0,-0.8060870965873911,-1.2974650525842701,-1.9369921752089863,0.0
RALBP1,1.3169760912768305,0.0,0.0,0.0,0.0,0.0,0.0,1.1413715350929314,0.0,0.0,0.0,-2.267701978927347,0.0,0.0,0.0,0.4018155203218186,0.16518575157350668,0.0,0.0,0.0,0.0,0.0,0.0
RALGAPA1,-1.5688385696064016,0.0,-1.5301506148688628,0.0,0.0,0.0,0.0,1.0675657253974817,0.0,0.0,0.0,-1.1493353055196152,0.0,0.0,-0.9965983517366347,0.0,0.0,1.0011962958724145,-1.9953787013295314,0.0,0.0,0.0,0.0
RALY,1.2202783919123557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8275660790642662,0.0,0.0,0.0,1.5126756250966622,1.1279365658704577,2.3119288258469988,0.0,0.0,0.0,0.0,-1.0246407678582783
RANBP2,2.0464363894760895,-0.8577637841184462,0.0,0.0,1.176197585326501,0.0,-1.006346812025439,0.7562796377034798,2.3497109066006754,-1.4337850231711269,0.0,0.9158440812781076,-1.2853005807166191,-1.7379228630427985,0.0,1.1521650083055,0.965698593849762,0.0,0.0,0.0,0.5087716976763415,-1.3838964020493094,0.0
"RANBP2, RGPD1, RGPD2, RGPD3, RGPD4, RGPD5, RGPD8",1.3634290354641192,0.0,0.0,0.0,0.0,0.0,0.0,-1.2384881008783075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.367906680327731,1.3057762154691135,-1.2692348877023663,-1.209264014953797,0.0,0.0,0.0,0.0
