,Gene Name,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib
18,DCP1A,-4.740835744999999,0.0,0.0,0.0,7.644058086999999,0.0,0.0,0.0,0.0,-2.1635987438333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.410549701337064,8.345382758264849,0.0,4.887387109999998,0.0,0.0,0.0,0.0,0.0
19,DENND4C,-4.74132846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0996570269999997,0.0,0.0,0.0,8.589907789000408,0.0,7.922062973375167,0.0,0.0,8.341419441215438,8.073603199955159,0.0,0.0,0.0,0.0,7.549499771093643,0.0,0.0
20,DIDO1,-4.638754696843551,0.0,6.679262659733693,0.0,0.0,0.0,0.0,0.0,0.0,-2.3689925056000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.901870677421369,7.637809553568324,0.0,0.0,0.0,0.0,5.7648040893433405,0.0,0.0
21,EEF2K,-4.985141006999999,0.0,6.350446784000585,0.0,7.206294575419011,0.0,-3.663447821,0.0,0.0,-1.842761022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.888801804560187,7.213524159343332,4.159578031,4.373026487999999,0.0,0.0,0.0,7.841348645686431,0.0
22,ELOF1,-5.223047603181296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,EPS8L2,-4.783921073,0.0,7.978246344235917,0.0,0.0,5.483475069612565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.670363018644045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,GAPVD1,-5.078150941498898,0.0,4.963592857414935,0.0,0.0,0.0,-4.714686189,0.0,0.0,-2.1852444069999994,0.0,0.0,0.0,0.0,0.0,8.333573575963978,0.0,0.0,8.334146795153256,8.353216968998309,0.0,4.412858049,0.0,0.0,9.40158398555724,6.097456437720389,0.0
25,GBF1,-4.693098947999999,0.0,7.044664936293516,0.0,0.0,0.0,0.0,0.0,0.0,-1.2971411299999989,0.0,0.0,0.0,6.398613242557729,0.0,0.0,0.0,0.0,8.352651390238348,8.65754645622449,0.0,4.327108304,0.0,0.0,0.0,0.0,0.0
26,HBS1L,-4.810161920999999,0.0,6.813865999925718,0.0,0.0,5.171747711791068,-3.885145412,7.0691593477446295,0.0,0.0,0.0,0.0,6.666074501631035,0.0,0.0,8.196419986335478,4.596586812005226,0.0,8.422209346076437,7.987154823721848,0.0,0.0,0.0,0.0,7.609032218505533,6.805478720787466,0.0
27,KIF5B,-4.750490935999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5884333215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
