,Gene Name,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib,ID,All Pathways
4078,SELPLG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7171308837938413,1.3982666913845117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6404,hsa04514 hsa04613 hsa05150
4080,SF3A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.993315360221392,3.927901844018769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10291,hsa03040
4081,SF3A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33561575548571,2.4845367530547118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10946,hsa03040
4082,SF3B3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.341208053305859,2.284813630055201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23450,hsa03040
4083,SFN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8575797296431664,1.7886414478103834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2810,hsa04110 hsa04115 hsa04960
4084,SH2D2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.204763036247241,1.2158121639118429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9047,hsa04370
4090,SIRT6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3123240504981043,-1.381348167749923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51548,hsa00760 hsa01100 hsa04714 hsa05230
4093,SKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.053592891887276,-1.1777511838562869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6497,hsa04350
4095,SKP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.235249010169228,-1.784230278694605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6502,hsa04068 hsa04110 hsa04120 hsa04150 hsa05169 hsa05200 hsa05203 hsa05222
4096,SLC16A10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.215171015446944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117247,hsa04919 hsa04974
4098,SLC26A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22422068680754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65010,hsa04978 hsa05208
4099,SLC29A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1656649522155065,1.0621213191254653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3177,hsa05034
4104,SLC39A7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6061090880243698,-1.2550203141053826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7922,hsa05010 hsa05012
4106,SLC7A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5883482928384838,1.347651113719882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6541,hsa05206
4109,SLU7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6624668031712804,-1.671609536501298,0.0,0.0,0.0,-0.8149729758752063,1.3794714576492526,0.0,0.0,10569,hsa03040
4110,"SMAD1, SMAD5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6457762715001216,2.591285215755474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4086,hsa04350 hsa04390 hsa04550 hsa05202
4111,"SMAD2, SMAD3, SMAD9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654316876808533,2.716018969970802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4087,hsa04110 hsa04144 hsa04218 hsa04350 hsa04371 hsa04390 hsa04550 hsa04659 hsa04926 hsa04933 hsa05142 hsa05166 hsa05200 hsa05205 hsa05210 hsa05212 hsa05225 hsa05226 hsa05321 hsa05415
4112,SMAD5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.663565082895533,3.799035901563497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4090,hsa04350 hsa04550
4115,SMARCA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5465814557770414,1.24895028702113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6595,hsa04714 hsa05225
4116,"SMARCA2, SMARCA4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.434136752078181,3.3669883631564934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6595,hsa04714 hsa05225
4117,"SMARCD1, SMARCD2, SMARCD3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5570503577602204,2.494817966414293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6602,hsa04714 hsa05225
4118,SMARCE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7897987780338014,1.7156372748346411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6605,hsa04714 hsa05225
4119,SMC1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.189927503769958,1.8884867850338705,2.4930250627891923,0.0,0.0,0.0,0.0,0.0,0.0,8243,hsa04110 hsa04114
4122,SMYD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.643296079203808,3.264762124649436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56950,hsa00310 hsa01100
4125,SNRNP200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.454770821709204,2.285191613704668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23020,hsa03040
4126,SNRPD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.898159710842359,1.963603735568312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6633,hsa03040
4127,SNRPD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.862037131024661,2.0289553180512625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6634,hsa03040 hsa05322
4130,SNX5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6506499860326187,1.998612850725172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27131,hsa04144
4131,SOD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258554865189114,0.4790213551593137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6647,hsa04146 hsa04213 hsa05012 hsa05014 hsa05016 hsa05020 hsa05022 hsa05208
4138,SREBF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5630529019999837,1.5450984227784088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6720,hsa04152 hsa04910 hsa04931 hsa04932 hsa04936
4139,"SREBF1, SREBF2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6472088167499614,3.723235412850694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6720,hsa04152 hsa04910 hsa04931 hsa04932 hsa04936
4142,"SRGAP2, SRGAP2C",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0438453361614255,-1.5262892634141008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23380,hsa04360
4143,SRP68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0087451642024265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6730,hsa03060
4144,SRP72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.631536402164052,2.449179817491565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6731,hsa03060
4146,"SRSF2, SRSF8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1434518646289384,1.1750446275500226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6427,hsa03040 hsa05168
4147,"SRSF4, SRSF5, SRSF6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0350357134841954,2.0770808261447096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6429,hsa03040 hsa05168
