,AZD-8055,Dactolisib,Dasatinib,MK-2206,Nintedanib,Mirdametinib,Pictilisib,Refametinib,Selumetinib,Staurosporine,Tideglusib
PRRC2B,1.0,1.8254586241703,1.0,1.0,1.0,1.0,1.0,1.0,2.3393535609642,1.0,1.0
NEMF,1.0,1.74520047113763,1.0,1.74022023394423,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KIAA1522,1.0,1.0,1.66892663636883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
STXBP5,1.0,1.89715995298836,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RBBP6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.82846717691216,1.0
RNF6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67593702661708,1.0
USP36,1.0,1.0,2.86470787900456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BIN1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8061086296929,1.0
RPL21,1.0,1.0,2.5676454082431848,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CTTN,1.0,1.0,2.8624678941569868,1.0,1.0,1.0,1.0,1.0,1.0,1.8489427209525695,1.0
TAB2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.201543470976655,1.0
ACAP2,1.0,1.0,1.0,2.05082984996123,1.0,1.0,1.0,1.0,2.05082984996123,1.0,1.0
CENPT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.84255307020715,1.0
CLASP1,1.0,1.0,1.76817145176926,1.0,1.0,1.0,1.0,1.0,1.0,5.7465367211358,1.0
EIF4EBP1,1.0,1.0,2.13047131013367,1.0,1.0,1.0,1.0,1.0,1.0,2.7755851893361,1.0
CYLD,1.0,1.66371365446043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.30779609667937,1.0
ZFC3H1,1.70670718273844,2.19817399258324,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SAMHD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.84182824782131,1.0
HDAC7,1.0,1.68670208261426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARHGEF1,1.0,1.0,1.0,2.09605969055188,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RCSD1,1.0,1.0,2.165204661610668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AAK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.54039275466953,1.0
OSBPL10,1.75145184679335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHTF18,1.0,1.0,1.66122894818755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INTS1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.66057941039965,1.0
RPS7,1.0,1.0,1.69851517817087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DTD1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.36316074922028,1.0
VPS4A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.68849738706065,1.0
ING4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.20426589303018,1.0
NOP2,1.0,2.05635503642404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AAAS,1.0,1.0,1.75685795862592,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCDC82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.81465123281789,1.0
REXO4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.88184552400828,1.0
FAM123A,1.0,1.0,1.0,2.310756911,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAPOLA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.74564888085403,1.0
SLC38A1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.76681782475642,1.0
PACS1,1.0,1.0,1.0,1.0,1.0,2.16805401416599,1.0,1.0,1.0,1.0,1.0
MCM4,1.0,1.0,1.82871659244933,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MAX,1.0,1.0,3.12875176875491,1.0,1.0,1.0,1.0,1.0,1.0,1.80034656277645,1.0
KIAA0556,1.0,1.71545481883396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PTK2B,1.0,1.0,2.94069014067932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PCGF6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.90175420492542,1.0
NUMB,1.0,1.0,1.0,1.0,1.69607904616417,1.0,1.0,1.0,1.0,1.0,1.0
EPS15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.67569530592722,1.0
IWS1,1.0,1.0,2.417206118467377,1.0,1.0,1.0,1.0,1.0,1.0,1.9658483073781463,1.0
EIF3A,1.0,1.0,1.73193174996066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ANXA5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.88774083386677,1.0
BASP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6510746682714026,1.0
RECQL4,1.0,2.0997549456727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
THOC5,1.0,3.071043575467535,1.0,1.0,1.0,1.0,1.88077836234271,1.0,1.0,1.0,1.0
MON2,1.0,1.67111367476036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCDC6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.946379958854325,1.0
TFPI2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.96883814118993,1.0
LIG1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.81857941907064,1.0
KAT5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.90337206687196,1.0
CD276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95160560584821,1.0
"GCOM2, POLR2M",1.0,1.0,1.0,2.469330651,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TPD52,1.0,1.0,1.0,1.76702759114561,1.82530677234297,1.0,1.67008940101758,1.0,1.0,1.0,1.0
UNC45A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6016082948418,1.0
RBM8A,1.0,1.0,1.87880098864137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
MFF,1.7859587379935,1.0,1.85548728448524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARHGAP39,1.0,1.0,1.76185173671927,1.0,1.0,1.0,1.0,1.0,1.0,1.76753422399393,1.0
ITGA5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73175378521924,1.0
PITPNB,1.0,2.75220830328452,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"ARPP19, ENSA",1.0,1.0,1.70487902609104,1.0,1.0,1.0,1.0,1.0,1.0,2.58830700498835,1.0
KPNA2,1.0,1.0,1.0,1.0,1.66671115705222,1.0,1.0,1.0,1.0,1.0,1.0
AKTIP,1.0,1.81964762291894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NUFIP2,1.0,2.0022169084304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.71697889194249,1.0
ABCC2,1.0,1.68220825667468,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
C18orf25,1.0,1.74270611907264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"POU2F1, POU2F3",1.0,1.0,1.79116962590565,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
FUBP3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.98261112381978,1.0
BCL10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75159408673795,1.0
PINX1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.81939644962038,1.0
DCBLD2,1.0,1.0,1.99712687278594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RNF214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.76531293944503,1.0
CAMSAP1,1.0,1.0,2.3944877536752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WBP4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.89699188894351,1.0
PHRF1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.28843084459946,1.0
