,Trastuzumab,Tideglusib,Mirdametinib,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Romidepsin,A485,AZD-8055,CUDC-101,Cytarabine,Dactolisib,Imatinib
GnRH,0.0,0.0,-0.05950484433089683,-0.023514073659861495,-0.09164692735992264,0.012816693015412033,-0.035467690620644664,0.05831232292233893,0.0,0.01446516354168392,-0.02104000935947466,0.0,0.18296598302835798,0.06792034278630259
MAPK,0.0,0.0,-0.026637531170722126,-0.00863821587844133,-0.018400827919043503,-0.01757905644353864,-0.03886702771468348,0.017099101600146147,0.0,-0.00038543115210499043,0.008279476963243566,-0.009019313982739918,0.06678956032185926,0.01567220487479261
ErbB,0.024367862863503963,0.0,-0.026816254708543066,-0.07273752757914191,-0.04196477665398822,-0.05700062913044691,-0.07522143166939015,-0.029285716794887194,0.0,-0.07510813085694296,-0.001400015845360714,-0.036283886740364514,-0.031465189776943465,-0.218276832100369
FoxO,0.0,0.0,-0.03128563049330024,-0.027868531745021033,-0.050839701539829515,0.007098127133588501,-0.08541766414898584,0.07113067022704243,0.0,0.017143897530884647,-0.026197198382505317,-0.021045065959726477,0.053163437504835924,0.010577971009557494
cAMP,0.0,0.0,-0.06357117543022285,-0.016112202277172197,-0.0882358993432353,0.043382268632443655,-0.09444290469080387,-0.017912246583999595,0.0,0.0,-0.02335861551700254,0.0,0.06106158619989429,0.09959875684242649
Jak-STAT,0.0,0.0,-0.016150924546227085,-0.04560305194639805,0.0,-0.027522928381828377,-0.07660510305712569,-0.0230718879086398,0.0,-0.03382167316098304,-0.16916720013315822,0.0,-0.007355501353829294,-0.288254125819159
Notch,-0.10271062473312233,0.0,-0.016726426812257677,-0.030852707971163032,0.0,-0.24606874776943424,-0.09705785088427701,-0.05010752467214071,0.03931862060044569,0.0,0.0018246453018496824,0.0,0.0,0.0
Glucagon,-0.08524090854567636,0.0,0.0,0.016289436538145532,-0.022596923592603825,0.0,0.05824826532470937,0.026685388376846465,0.0,0.0,-0.00977992703286292,0.0,0.07216974966095974,0.0
Wnt,-0.04189853560345123,0.0,0.0,-0.029371332865981703,0.030355935725569435,-0.03111523123125394,0.04802927140809369,-0.0945309991201598,0.0,-0.017825025250568515,-0.04891351454621494,0.0,0.0367088163848683,0.021999089875233465
TGF-beta,-0.045067040736686395,0.0,-0.039877363331473084,-0.04345342564727303,-0.10112764398336291,-0.09261376568252927,-0.07188225735034785,-0.11016882797158369,0.0,-0.1597146023778404,-0.10991593108134268,0.0,-0.031316852465968006,0.1679789517072842
Thyroid,-0.014228711973638912,0.0073407924056169025,-0.04321255734787052,-0.01851080894431382,0.006982789788887138,-0.11499084783048988,-0.018620402454738522,-0.025032102079614635,0.0,-0.03933180501984811,0.03457318858552778,0.0,0.06543447999166986,0.10517411631507897
